,time,name,price,symbol,marketcap,link,img
71,20210928150531,Ethereum,2838.10,ETH,334079013539,/currencies/ethereum/,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png
72,20210928150531,Tether,1.00,USDT,68554293673,/currencies/tether/,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png
73,20210928150531,Cardano,2.08,ADA,66454455249,/currencies/cardano/,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png
74,20210928150531,Binance Coin,334.00,BNB,56157147813,/currencies/binance-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png
75,20210928150531,XRP,0.9101,XRP,42518050532,/currencies/xrp/,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png
76,20210928150531,Solana,131.01,SOL,38964789777,/currencies/solana/,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png
77,20210928150531,USD Coin,1.00,USDC,31311166638,/currencies/usd-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png
78,20210928150531,Polkadot,26.77,DOT,26442190432,/currencies/polkadot-new/,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png
79,20210928150531,Dogecoin,0.1992,DOGE,26189935722,/currencies/dogecoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png
80,20210928150229,Bitcoin,41644.72,BTC,784122656646,/currencies/bitcoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png
81,20210928150229,Ethereum,2852.05,ETH,335721277036,/currencies/ethereum/,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png
82,20210928150229,Tether,1.00,USDT,68558201978,/currencies/tether/,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png
83,20210928150229,Cardano,2.07,ADA,66415871227,/currencies/cardano/,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png
84,20210928150229,Binance Coin,334.19,BNB,56190255180,/currencies/binance-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png
85,20210928150229,XRP,0.9115,XRP,42581662938,/currencies/xrp/,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png
86,20210928150229,Solana,131.37,SOL,39071941916,/currencies/solana/,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png
87,20210928150229,USD Coin,1.00,USDC,31310899124,/currencies/usd-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png
88,20210928150229,Polkadot,26.90,DOT,26567368000,/currencies/polkadot-new/,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png
89,20210928150229,Dogecoin,0.1996,DOGE,26241749898,/currencies/dogecoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png
90,20210928145928,Bitcoin,41644.72,BTC,784122656646,/currencies/bitcoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png
91,20210928145928,Ethereum,2852.05,ETH,335721277036,/currencies/ethereum/,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png
92,20210928145928,Tether,1.00,USDT,68558201978,/currencies/tether/,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png
93,20210928145928,Cardano,2.07,ADA,66415871227,/currencies/cardano/,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png
94,20210928145928,Binance Coin,334.19,BNB,56190255180,/currencies/binance-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png
95,20210928145928,XRP,0.9115,XRP,42581662938,/currencies/xrp/,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png
96,20210928145928,Solana,131.37,SOL,39071941916,/currencies/solana/,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png
97,20210928145928,USD Coin,1.00,USDC,31310899124,/currencies/usd-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png
98,20210928145928,Polkadot,26.90,DOT,26567368000,/currencies/polkadot-new/,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png
99,20210928145928,Dogecoin,0.1996,DOGE,26241749898,/currencies/dogecoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png
100,20210928150028,Bitcoin,41644.72,BTC,784122656646,/currencies/bitcoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png
101,20210928150028,Ethereum,2852.05,ETH,335721277036,/currencies/ethereum/,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png
102,20210928150028,Tether,1.00,USDT,68558201978,/currencies/tether/,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png
103,20210928150028,Cardano,2.07,ADA,66415871227,/currencies/cardano/,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png
104,20210928150028,Binance Coin,334.19,BNB,56190255180,/currencies/binance-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png
105,20210928150028,XRP,0.9115,XRP,42581662938,/currencies/xrp/,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png
106,20210928150028,Solana,131.37,SOL,39071941916,/currencies/solana/,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png
107,20210928150028,USD Coin,1.00,USDC,31310899124,/currencies/usd-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png
108,20210928150028,Polkadot,26.90,DOT,26567368000,/currencies/polkadot-new/,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png
109,20210928150028,Dogecoin,0.1996,DOGE,26241749898,/currencies/dogecoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png
